Date,CVX,CVX/XOM,KO,PEP,PEP/KO,T,VZ,VZ/T,XOM
1990-01-02,6.7249254228631,0.8642714850872945,2.7912923858505,6.3104857591378,2.260775614595821,6.506970609044799,12.543601726366207,1.9277175939492317,7.7810335512618
1990-01-03,6.6228920716196,0.8597559600868285,2.7534443535000004,6.249590799283099,2.269735646314778,6.393412666369599,12.516093827843473,1.9576546174909346,7.7032232157492
1990-01-04,6.5301344795800995,0.8563647086579114,2.7439823454122996,6.1877136626565,2.2550121989676137,6.2720664577144,12.061367359259824,1.9230292664429292,7.625412880236599
1990-01-05,6.437376887540599,0.8485296702395352,2.7155963211495,6.102264283505599,2.24711759843692,5.969798194692099,11.785666359002445,1.9742152037034324,7.5865077124803
1990-01-08,6.5023072019683,0.8441021400852524,2.7723683696752,6.212268081952799,2.240780175500489,6.070554282366201,11.88271311109304,1.9574346193740575,7.7032232157492
1990-01-09,6.4466526467445995,0.8541325021481163,2.7534443535000004,6.1258365260300005,2.2247903859917244,5.9325184422526,11.551871910784184,1.9472121365033455,7.547602544724
1990-01-10,6.4466526467445995,0.8497523354704346,2.7345203373247005,5.966723888990201,2.1820001875823327,5.768286019343799,11.248600810501067,1.9500768118604335,7.5865077124803
1990-01-11,6.4642301964624,0.8477219919745289,2.7345203373247005,5.9176150503977,2.164041338301824,5.818664063180901,11.28940455853916,1.940205592891293,7.625412880236599
1990-01-12,6.2518617034617,0.8413345094043522,2.6399002564484,5.7702885346202,2.185797937071789,5.642340909751099,10.807479210089262,1.9154247116496923,7.430887041455
1990-01-15,6.2889647402775,0.8353067909070256,2.5925902160103,5.660284736173001,2.18325468530215,5.553675552597901,10.848282958127356,1.9533519478019816,7.528928064200901
1990-01-16,6.4085766971161,0.8557929096354702,2.6115142321856,5.868506211805201,2.2471660845186334,5.6675299316697005,10.958563358230307,1.9335695603466934,7.4884666897344
1990-01-17,6.372446573113001,0.8642589048994435,2.5925902160103,5.868506211805201,2.2635687566684415,5.5163958001585,10.807479210089262,1.9591558694498927,7.3733073931757
1990-01-18,6.4281011283367,0.8605461769619176,2.5831282079227003,5.8193973732127,2.252848834743879,5.6171518878326,10.779909110063524,1.9191058609994245,7.4697922092113
1990-01-19,6.520858720376201,0.8618318756526534,2.6020522240979,5.8930606311015,2.264774156538904,5.642340909751099,10.890189510166476,1.930083574238848,7.566277025247
1990-01-22,6.2694392527453,0.8571632781667176,2.5263561593969,5.7575202365861,2.2789820093935425,5.479116047719099,10.393927709703194,1.8970081340091494,7.314171538186099
1990-01-23,6.372446573113001,0.8690277358687575,2.5452801755721,5.7575202365861,2.262037905234534,5.5163958001585,10.559348309857619,1.9141752499982367,7.332846018709099
1990-01-24,6.3621975543780005,0.8698452751842095,2.5263561593969,5.7339479940617,2.2696514791606135,5.553675552597901,10.476638009780409,1.8864332117636295,7.314171538186099
1990-01-25,6.2889647402775,0.8785248379148166,2.4601221027835,5.6229620188426,2.2856434696800254,5.3783599600449,10.434731457741286,1.940132593441026,7.1585508671609
1990-01-26,6.2694392527453,0.8617470390125277,2.4128120623452998,5.5001899223614,2.2795766020065025,5.327981916207901,10.462301557767022,1.9636518521093975,7.2752663704298
1990-01-29,6.2694392527453,0.8571632781667176,2.4411980866082,5.549298760953901,2.2731865928438832,5.3148836248102,10.489871657792762,1.9736785221082551,7.314171538186099
1990-01-30,6.3353435362971995,0.8661737700874804,2.3749640299948,5.524744341657599,2.326243375429015,5.2645055809732,10.44906790975467,1.984814670444902,7.314171538186099
1990-01-31,6.510609339318,0.8901362656491126,2.4695841108711,5.6475164381389,2.2868289495703156,5.327981916207901,10.779909110063524,2.0232630815188535,7.314171538186099
1990-02-01,6.4837556835604,0.8864648100895319,2.4601221027835,5.7211796960277,2.325567373080581,5.4156397124844,10.820712858101619,1.998048879277766,7.314171538186099
1990-02-02,6.5301344795800995,0.8763966316674571,2.4885081270464,5.7702885346202,2.3187742374259117,5.479116047719099,10.79314275807588,1.9698693482809069,7.4511177286883
1990-02-05,6.5672375163959,0.879172717588794,2.4790461189587,5.7339479940617,2.312965438686631,5.553675552597901,10.614488509909096,1.911254701392098,7.4697922092113
1990-02-06,6.5301344795800995,0.8852715342666195,2.4601221027835,5.831183494474901,2.3702821448891584,5.4025414210867,10.31121740962598,1.908586460694256,7.376419806596201
1990-02-07,6.6775627513827,0.8911133050635771,2.4885081270464,5.843951792509,2.3483756106696596,5.440828734402901,10.228507109548763,1.87995388365616,7.4935058352723
1990-02-08,6.9104406069421,0.9198908681068192,2.4885081270464,5.8930606311015,2.3681098594988113,5.2393165590546,10.118226709445814,1.931211179053396,7.5122395998605
1990-02-09,6.7991314964947,0.902635293089792,2.4695841108711,5.9176150503977,2.39619902976715,5.3400726467287996,10.214170657535382,1.912740019331448,7.5325345114977
1990-02-12,6.6599951084354005,0.9053673236297765,2.4506600946958,5.904846752363699,2.4094923507116013,5.2896946028917,10.159030457483906,1.920532510880742,7.356124894959001
1990-02-13,6.723941959069201,0.9115454563820329,2.4033500542577,5.7702885346202,2.4009355293032475,5.3400726467287996,10.118226709445814,1.8947732322787776,7.376419806596201
1990-02-14,6.8455102925144,0.9329624345878994,2.4033500542577,5.7830568326542,2.406248237708492,5.3652616686473,10.118226709445814,1.8858775833009542,7.3373911303708
1990-02-15,6.836234533310501,0.9028828478107537,2.4885081270464,5.831183494474901,2.3432447059740604,5.4912067782399,10.159030457483906,1.8500542536007334,7.5715631877231
