Date,AAPL,AAPL/FB,AMZN,AMZN/AAPL,AMZN/FB,FB,ln(AAPL),ln(AMZN),ln(FB)
2013-01-15,64.870600945297,2.1551694666211625,271.9,4.1914210141090456,9.033222591362126,30.1,4.172394531021997,5.605434351638425,3.40452517175483
2013-01-16,67.56330760702501,2.263427390520101,268.93,3.9804149548776318,9.009380234505862,29.85,4.213065048808466,5.59445112268962,3.396184839838611
2013-01-17,67.108070635459,2.226545143844028,270.48,4.030513728658473,8.974120769741209,30.14,4.206304314471512,5.600198158399631,3.4058531931983493
2013-01-18,66.750289085958,2.2505154782858394,272.12,4.076686464227536,9.17464598786244,29.66,4.200958628146756,5.60624314547686,3.389799336709786
2013-01-22,67.38708684383799,2.1928762396302632,270.19,4.009521892913029,8.792385291246338,30.73,4.210453409708545,5.599125415218723,3.425239376142393
2013-01-23,68.61996468325499,2.226475168178293,268.11,3.9071719322150225,8.699221284879949,30.82,4.228583522758865,5.59139734406141,3.42816382989197
2013-01-24,60.142010466448,1.9350711218290864,273.46,4.5469048653196875,8.798584298584299,31.08,4.096708606772954,5.611155358880936,3.436564525499447
2013-01-25,58.724234326262,1.8618970934135066,283.99,4.835993236151862,9.004121750158529,31.54,4.072852492167291,5.648939026273669,3.451256581534892
2013-01-28,60.052565079073,1.8494784440736989,276.04,4.596639621247318,8.501385894672007,32.47,4.09522026333515,5.6205457827524015,3.4803165861147547
2013-01-29,61.179309958844,1.9869863578708673,260.35,4.2555236431260886,8.455667424488471,30.79,4.113809059790959,5.562026879608908,3.427189961936409
2013-01-30,60.987069126276,1.9522109195350832,272.76,4.472423481037271,8.73111395646607,31.24,4.110661860165591,5.608592287652452,3.441699324971485
2013-01-31,60.808178351526,1.9628204761628794,265.5,4.366189009398885,8.570045190445448,30.98,4.10772429228677,5.581614840681993,3.4333418349887226
2013-02-01,60.558532270344,2.0369502949997984,265.0,4.375931682376203,8.91355533131517,29.73,4.103610372876846,5.579729825986222,3.3921566370100065
2013-02-04,59.049441734689,2.1006560560188188,259.98,4.402751192265261,9.248665955176095,28.11,4.078375088486725,5.560604704979873,3.3361253849184407
2013-02-05,61.122438712543,2.1341633628681214,266.89,4.366481534795685,9.318784916201116,28.64,4.11287904446382,5.586836588492379,3.3548043420924447
2013-02-06,61.056489426926,2.101772441546506,262.22,4.294711380578665,9.026506024096387,29.05,4.111799491826941,5.5691838460712555,3.3690184832979204
2013-02-07,62.861417243809996,2.194115785124258,260.23,4.139741218221182,9.083071553228622,28.65,4.140932577151057,5.561565855358551,3.3551534431607486
2013-02-08,63.768988856659,2.233589802334816,261.95,4.107796041565212,9.175131348511384,28.55,4.1552670041039175,5.5681536458542285,3.351656936102019
2013-02-11,64.433556827606,2.2800267808777774,257.21,3.991864063754441,9.10155697098372,28.26,4.1656345661527725,5.54989287185648,3.3414473772563813
2013-02-12,62.818455273971004,2.295157299012459,258.7,4.118216515699536,9.451954694921445,27.37,4.140248904091056,5.5556690891919835,3.309447523052588
2013-02-13,62.698967295356,2.246469627207309,269.47,4.297837932969578,9.6549623790756,27.91,4.138344976934749,5.596457066898652,3.328985047548231
2013-02-14,62.642579709942,2.197985252980421,269.24,4.298034998665116,9.44701754385965,28.5,4.137445233943454,5.595603175142513,3.349904087274605
2013-02-15,61.77931262849,2.1814729035483755,265.09,4.290918573246665,9.360522598870055,28.32,4.123568561311512,5.580069390969017,3.343568268825519
2013-02-19,61.756489082013,2.1346867985486693,269.75,4.367962039450953,9.32423090217767,28.93,4.123199056335292,5.597495604138244,3.3648791189880436
2013-02-20,60.260875506992996,2.1173884577299016,266.41,4.420944730036064,9.360857343640197,28.46,4.098683062421588,5.585036475499256,3.3484995926617063
2013-02-21,59.886300832459,2.1952456316883797,265.94,4.4407484901097405,9.748533724340176,27.28,4.092447778338699,5.58327071942856,3.3061538329752613
2013-02-22,60.524017572256,2.23088896322359,265.42,4.385366514758062,9.783265757464063,27.13,4.1030402709246205,5.581313477009103,3.3006401266708405
2013-02-25,59.448625764724,2.180000944801027,259.87,4.371337380084626,9.52951961862853,27.27,4.085112507053367,5.560181505973845,3.305787196857497
2013-02-26,60.276986245682004,2.200693181660533,259.36,4.302803045641312,9.469149324571012,27.39,4.098950376584137,5.558217057987366,3.3101779832749867
2013-02-27,59.686259160396006,2.221297326401042,263.25,4.410562895097234,9.797171566803126,26.87,4.089101829089082,5.573104151014085,3.2910104226273997
2013-02-28,59.260667146678,2.174703381529468,264.27,4.459450301932928,9.697981651376146,27.25,4.081945800041516,5.5769713077898135,3.305053521109253
2013-03-01,57.793247364364994,2.080390473879229,265.74,4.598115041444338,9.565874730021598,27.78,4.056871941247313,5.582518387163162,3.3243163373261977
